,user_a,user_b
20,"mình đủ chỉ rồi, mình đang làm đồ án tốt nghiệp <eos> bạn thích đi du lịch không >","mình rất thích đi du lịch, nhất là đi nước ngoài"
21,bạn đi Nha Trang chưa ?,"mình đi Nha Trang rồi, chổ đó khá đẹp và mát mẻ <eos> bạn có biết gì về thể thao điện tử không ?"
22,mình hay theo dỗi bộ môn Liên Minh Huyềnh Thoại <eos> team LOL nào bạn yêu thích nhât ?,mình thích GAM <eos> còn bạn thích team nào nhất về LOL ?
23,mình thích SGB <eos> bạn có hay theo dỗi LCK không ?,"có, mình hay theo dỗi team SKT T1"
24,còn mình theo dỗi team DWG bên LCK,bạn có theo dỗi SEA GAME về LOL không ?
25,"có, mình sẽ theo mỗi từng trận đấu của GAM <eos> bạn ở trọ hay ở nhà riêng",mình mướn trọ để đi học <eos> bạn ở trọ hay ở nhà riêng
26,mình có căn chung cư ở Quận 7 nè <eos> hôm này rãnh mình mời bạn vào nhà chơi nhé ?,thế thì quá tuyệt vời <eos> tối mai đi xem phim không bạn ?
27,phim gì bạn ?,Dr Strange á bạn
28,mình thích Dr Strange lắm <eos> thế chốt tối mai đi xem Dr Strange nhé,"ok bạn, tối mai mình đi xem phim"
29,bạn thích uống loại nước uống nào ?,"mình thường uống coffee vào mỗi buổi sáng <eos> còn bạn, bạn thích uống loại nước nào nhất ?"
30,mình thích uống cà phê đá nhất <eos> bạn có the cho mình follow instagram của bạn được không ?,"được chứ, account tui là quoty"
31,bạn có thể cho mình follow instagram của bạn không ?,"chắn chắc rồi, account của mình là truongwfngo"
32,bạn có thể cho mình làm chung nhóm đồ án tốt nghiệp được không ?,chắc chắn là được nha bạn
33,bạn làm đồ án về chủ đề gì ?,mình làm về hệ thống ecommerce <eos> bạn làm đồ án về chủ đề gì ?
34,mình chưa chọn được đề tài bạn ơi,
35,cậu học trường nào ?,tớ học trường Tôn Đức Thắng <eos> còn cậu học trường nào ?
36,tớ học trường RMIT <eos> trường của cậu có nhiều chương trình đào tạo không ?,trường của tớ có đào tạo chương trình chất lượng cao và tiêu chuẩn 
37,vậy trường của cậu có bao nhiêu ngành đào tạo ?,trường của tớ 40 ngành đào tạo tiêu chuẩn và 17 ngành chất lượng cao
38,trường của cậu có thư viện không ?,trường của tớ có thư viện rất to 
39,cậu thích nghe thể loại nhạc nào nhất ?,tớ thích nghe nhất là pop <eos> cậu thì thích nghe thể loại nào ?
40,dạo gần đây thì tớ hay nghe nhạc rap <eos> nhưng thể loại tớ thích thì là edm,bài hát edm nào mà cậu thích nhất ?
41,bài hát edm yêu thích của tớ là Faded <eos> bài hát pop yêu thích của cậu là gì ?,bài hát pop yêu thích của tớ là Sugar
42,bài Sugar của Maroon 5 đúng không ?,đúng vậy
43,cậu thích ăn món nào nhất ?,tớ thích ăn phở <eos> còn cậu thích ăn món nào ?
44,tớ thì thích cơm tấm <eos> còn về đồ uống ưa thích của cậu ?,đồ uống ưa thích của mình là coca
45,còn đồ uống ưa thích của mình thì là trà sữa,cậu hay uống trà sữa HongKong hay Đài Loan
46,tớ hay uống trà sữa Đài Loan,
47,cậu đang làm công việc nào ?,tớ đang làm lập trình viên
48,cậu làm việc ở công ty nào ?,tớ làm việc ở công ty phần mềm 
49,công ty của cậu tên gì ?,công ty của tớ tên là FPT
50,công ty của cậu còn tuyển nhân viên không ?,công ty của tớ đang tuyển chức vụ quản lý nhân sự  <eos> còn cậu làm nghề gì ?
51,tớ đang làm sửa chữa ô tô,
52,cậu hay sử dụng thiết bị điện tử nào ?,tớ hay sử dụng điện thoại di dộng <eos> còn cậu hay sử dụng thiết bị điện tử nào ?
53,tớ cũng hay sử dụng điện thoại di động <eos> cậu sử dụng điện thoại hãng nào ?,tớ xài hãng apple <eos> còn cậu ?
54,tớ xài samsung <eos> cậu sử dụng chiếc điện thoại này bao lâu ?,tớ sử dụng chiếc điện thoại này được 3 năm rồi <eos> còn cậu ?
55,tớ sử dụng chiếc điện thoại này được 5 năm ,
56,Bạn tên gì?,Mình tên Khánh <eos> Còn bạn tên gì? 
57,Mình là Vũ <eos> Bạn học ở đâu?,Mình học ở đại học Tôn Đức Thắng
58,Mình cũng vậy,Thế bạn khoa nào?
59,Mình khoa công nghệ thông tin,Còn mình khoa quản trị kinh doanh
60,Bạn học chuyên ngành nào của khoa Công nghệ thông tin?,Mình học chuyên ngành Kĩ thuật phần mềm
61,bạn có ước mơ gì không ?,một công việc và gia đình hạnh phúc
62,bạn hiện đang sống ở đâu?,tớ sống ở thành phố Hồ Chí Minh
63,bạn có sở thích nào ?,"tui có nhiều sở thích như đá banh, xem phim, nghe nhạc, đi chơi"
64,bạn thần tượng người nổi tiếng nào?,mình thần tượng ca sĩ Sơn Tùng MTP
65,bạn đang đi làm hả?,"không, mình là sinh viên và đang đi học"
66,Mai ông có rãnh không?,"Có, chi vậy"
67,"Mai Tiến rủ đánh cầu lông, ông đi không?","Đi, mà mấy giờ?"
68,7 giờ sáng,Mà đánh ở đâu á?
69,Công viên tụi mình thường hay ra chơi á,Ok 
70,Mà mai ông có xe không qua chở tôi đi,"Ừ, để mai tôi qua rước"
71,Hôm nay ông được mấy điểm văn vậy?,Tôi được 10 điểm á ông
72,Gì cao vậy,Thế ông mấy điểm?
73,Tôi có 6 điểm à <eos> Ông có bí quyết học giỏi văn không chỉ tôi với,"Tôi cũng đâu có bí quyết gì đâu <eos> Chỉ là có vốn từ ngữ phong phú, cách quan sát độc đáo với lại đọc thêm nhiều tài liệu"
74,Chỉ vậy thôi hả,Nhưng cũng phải có sự kiên trì nữa nha
75,Bạn đã từng rớt môn nào chưa?,Mình từng rớt môn rồi
76,Trường bạn bự không?,Trường mình là hơi bị bự luôn
77,Trường bạn top mấy VIệt nam?,Trường mình top 500 thế giới
78,Bạn học trường nào?,Tớ học đại học Tôn Đức Thắng
79,Bạn học chuyên ngành nào của khoa Công nghệ thông tin?,Mình học chuyên ngành Kĩ thuật phần mềm
80,trường bạn ở đâu ?,trường mình ở quận 7
81,bạn có nợ môn không?,"có, hiện tại nợ vài môn"
82,Bạn có thoải mái với ngành bạn đang học không?,"Thật sự nhiều lúc khá áp lực, nhưng mình hài lòng về ngành học này"
83,bạn học giỏi không?,tớ học Không giỏi
84,Học phí của trường bạn đắt không?,"rẻ lắm bạn ạ, nhưng bạn phải giàu 1 tí"
85,Bạn có kế hoạch vào kỳ nghỉ lễ chưa?,Tôi chưa có. <eos> Còn bạn thì sao?
86,Tôi có kế hoạch đi nghỉ ở BoraBora với gia đình.,Bạn có đề xuất nơi nào tốt cho 1 kỳ nghỉ không?
87,Bạn có thể tới BoraBora giống như tôi. ,Nơi đó ở Pháp nhỉ?
88,Đúng rồi.,Vậy thì nơi đó khá đắt đỏ so với chi phí mà tôi có thể trả.
89,Vậy còn đảo Bali thì sao?,Hòn đảo nằm ở Indonesia à?
90,Đúng vậy.,Nơi đó có đông không nhỉ?
91,Tôi nghĩ là không. <eos> Bạn cũng có thể thử tới Santorini.,Nơi đó ở đâu vậy?
92,"Nó nằm phía Nam Hy Lạp. <eos> Tuy chi phí có thể đắt đỏ hơn Bali, nhưng bạn có thể tiết kiệm bằng nhiều cách.",Bạn kể chi tiết hơn đi.
93,"Vì chúng ta nghỉ lễ vào tháng 9, thời điểm đó Santorini khá vắng khách, thời tiết lúc đó cũng đẹp hơn. <eos> Bạn cũng có thể săn những chuyến bay giá rẻ và sử dụng phương tiện công cộng để di chuyển.",Còn về nơi ở thì sao?
94,Bạn có thể ở homestay tại khu Imerovigil,Tôi cũng thấy có 1 số đề xuất homestay giá tốt ở làng Oia.
95,Đó cũng là 1 lựa chọn tốt.,Ở Santorini có điểm du lịch nào hấp dẫn không?
96,"Bạn có thể ghé thăm các ngôi làng cổ tại đó, chúng đều mang 1 kiến trúc rất riêng của vùng ven biển địa chung hải, hoặc bạn có thể tắm ở biển đỏ và tham quan núi lửa NeaKameni.",Còn về ẩm thực thì sao?
97,"Ở Hy Lạp nổi tiếng về sữa chua, bạn có thể thưởng thức thêm các món được kết hợp với sữa chua như bánh Gyros, hoặc đơn giản là thưởng thúc hải sản.",Có lưu ý gì khi du lịch tới đó không?
98,Đó là giờ mua sắm có thể mở khác nhau tuỳ vào các ngày trong tuần. <eos> Nếu bạn đi Santorini thì nhờ bạn mua giúp tôi dầu Olive tươi nhé,"Được thôi. <eos> Còn nơi bạn tới vào dịp nghỉ, nó có gì thú vị không?"
99,"Đây là 1 hòn đảo du lịch nổi tiếng của Pháp, nơi mà nhiều người nổi tiếng thường ghé thăm.  <eos> Nơi đây cũng có các bãi biển trong xanh như ngọc và các bãi cát trắng.",Tôi nghe nói ở đây có rất nhiều resort 5 sao đúng không?
100,"Đúng vậy, vì thế nơi đây đắt đỏ",Tuy nhiên dịch vụ nơi này vô cùng tốt đấy nhé.
101,Còn gì khác nữa không? <eos> Ở đây còn có các dịch vụ lặn biển để tham quan hệ sinh thái quanh đảo.,Nghe thú vị đấy.
102,Ngoài ra bạn có thể trải nghiệm ẩm thực Pháp ở các nhà hàng nổi tiếng thế giới tại đây. <eos> Nhưng điều tuyệt vời nhất ở đây vẫn là phong cảnh và sự yên tĩnh của nó.,Thế bạn dự tính lú trú tại đâu thế?
103,Tôi có đặt phòng 3 ngày 2 đêm ở InterContinental.,Có hoạt động nào bạn muốn thử khi tới không?
104,Nếu được thì tôi muốn lặn cùng với đàn cá mập. <eos> Nó sẽ giúp ích cho bài nghiên cứu về sinh vật biển của tôi.,Chi phí ước tính mà bạn phải bỏ ra là bao nhiêu thế?
105,Tôi ước tính cả nhà mình đi sẽ tiêu tốn 18 ngàn đô.,Vậy là 6 ngàn đô một người à?
106,Đúng vậy.,Đúng là đắt thật đấy. <eos> Có phương án nào rẻ hơn không?
107,"Thông thường khi đi du lịch, việc đi theo tour sẽ tiết kiệm chi phí. <eos> Tuy nhiên hiện tại BoraBora chỉ có tour từ các chuyến du thuyền đi qua địa trung hải thôi.",Nếu vậy thì tôi không thể trải nghiệm tốt được nhỉ.
108,Tôi đồng ý. <eos> Tuy nhiên việc này giúp bạn tiết kiệm 1 nửa chi phí.,Tôi sẽ cân nhắc việc này vào năm sau.
109,Ê mậy đi đâu vậy Duy ?,Tao đi chơi với bồ nè <eos> Mày đi chung không ?
110,Mày đi với bồ kêu tao đi chung chi vậy trời <eos> Tao biết mày không đi tao mới rủ đó . :)),Thằng quỉ này. <eos> Chắc tao đấm mày quá
111,Haha <eos> Thôi tao đi nhe mậy,Ừa đi chơi vui vẻ đi mày.
112,bạn tên gì?,Mình tên Long? <eos> còn bạn tên gì? 
113,Nam <eos> Bạn học ở đâu?,
114,Nhà bạn ở đâu ?,Nhà mình ở Cà Mau
115,Quê nhà bạn có đặc sản gì ngon không ?,Có rất nhiều các loại hải sản luôn nhé
116,Bạn có dự định về quê vào sắp tới không?,Tôi có kế hoạch về quê vào tết sắp tới
117,Từ đây về quê bạn mất bao lâu?,Từ đây về Cà Mau mất khoảng 10 tiếng nếu đi xe 
118,Ở quê bạn thường thích làm gì nhất?,Về đó mình thích gặp lại và đi chơi cùng mấy đứa bạn ở quê <eos> Bạn có muốn theo mình về quê mình chơi không?
119,"Nghe thú vị đó, đương nhiên là muốn về Cà Mau rồi","Vậy sắp xếp công việc đi, rồi cuối tuần mình đi nhé"
120,Cảm ơn bạn,
121,Bạn có thích đi du lịch không?,"Có chứ, mình rất thích đi du lịch"
122,Bạn thích đi nơi nào nhất?,Mình thích đi Nha Trang nhất
123,Tại sao bạn thích du lịch Nha Trang?,Vì bãi biển nơi đó rất đẹp và nhiều khu nghỉ dưỡng
124,Bạn có muốn đi du lịch cùng mình không?,"Chắc chắn rồi, nhưng ta sẽ đi đâu?"
125,"Mình cũng không biết nữa, bạn có thể gợi ý cho mình không?","Chắc có thể là Đà Nẵng, mình nghe nói nơi đó đang hot"
126,"Được đó, vậy khi nào mình đi?",Chúng ta sẽ đi khi hè đến
127,Chúng ta sẽ đi bằng cái gì?,Chúng ta sẽ đi bằng máy bay đến đó
128,Rảnh không bạn?,Rất rảnh nhé
129,Đi xem phim hay đi chơi không?,Nghe nói CGV có phim mới hay lắm
130,Mấy giờ đi?,Chắc khoảng 6h tối nay nhé
131,"Ai mua vé, bạn bao tôi nhé?","Oke, bạn yên tâm tôi sẽ lo a to z"
132,Xem phim xong rồi mình làm gì?,Đi ăn không? Nghe nói gần đó có nhà hàng mới mở
133,"Thôi, bận rồi chỉ xem phim thôi",Nếu không rảnh thì hẹn hôm khác mình đi ăn nhé
134,Bạn đã có người yêu chưa ?,Chưa bạn ơi
135,Bạn mấy tuổi rồi?,Mình 20 rồi bạn ơi
136,Bạn có ý định tìm người yêu chưa?,Mình còn phân vân lắm 
137,Nếu có người yêu thì bạn thích đi đâu vào lúc rảnh?,Mình thích đi ăn 
138,"Mình cũng thích đi ăn nè, chúng ta hợp nhau đó <eos> Chúng ta có thể làm quen được không?",Cũng được…
139,Tối nay chúng ta có thể hẹn hò ở nhà hàng nhé,"Được luôn, ngại quá cảm ơn bạn"
140,Bạn thấy mình thế nào?,"Cũng tạm, không đẹp trai lắm"
141,Một năm có mấy kỳ nghỉ vậy bạn?,"Ai biết đâu, nhiều vô số kể hahaha"
142,30/4 với 1/5 năm 2022 là vào thứ mấy vậy bạn?,Vào thứ 7 và chủ nhật đó
143,Có định đi đâu chơi vào 2 ngày đó không?,"Không bạn ơi, toàn là kẹt xe mà đi đâu hahaha <eos> Thế bạn có đi đâu chơi không?"
144,Không luôn bạn ơi,2/9 năm nay nghỉ bao nhiêu ngày vậy bạn?
145,Nghe nói 2-3 ngày gì đó,Bạn định về quê bao lâu?
146,Chắc sẽ là tầm 4 ngày thôi,"Vậy còn Tết, về quê bạn làm gì?"
147,"Chúc Tết, nhận lì xì, đi chùa...",Thế còn dịp 20/11 bạn có họp lớp với thầy cô gì không?
148,"Chắc là không, vì bây giờ ai cũng đều bận cả rồi",
149,Thầy Cường có đẹp trai không?,Còn phải hỏi nữa sao
150,Hình như thầy đó dạy môn NLP phải không?,"Đúng rồi, rất dễ hiểu luôn"
151,Con gà với quả trứng cái nào nào có trước?,Sao mình biết được bạn hahaha
152,Mình đố bạn biết số bi bằng bao nhiêu?,"Bằng 3.14 chứ nhiêu, dễ ẹc <eos> Mình đố lại bạn H2 cộng O2 bằng gì?"
153,Bằng H20 chứ gì,Sai bét. HOHO nhé
154,"Tớ thấy cậu bị mất 1 cái răng , cậu bị ngã cầu thang à ?","Đúng vậy, một câu chuyện buồn"
155,Cho mình hỏi làm thế nào để thành công ?,Đừng theo mấy động đa cấp lừa dảo là được nhé
156,What là cái gì ?,What là cái gì !!!!!
157,Xin chào <eos> mình tên là Khánh <eos> rất vui được làm quen với bạn <eos> Bạn tên gì?,Mình là Minh Anh
158,Nhà bạn ở đâu?,quê mình ở Nghệ An <eos> hiện ở quận 7 đoạn gần Nhà Bè
159,vậy à <eos> mình cũng sống ở khu vực đó <eos> bạn sống một mình hay ở cùng với gia đình?,mình ở chung với chị gái
160,Bạn sinh năm bao nhiêu?,2k2
161,ê mày,hả?
162,mai đi xem phim không? <eos> phim mới ra hay lắm <eos> mày thích coi thể loại nào?,phim viễn tưởng đi  <eos> mấy giờ vậy?
163,chắc tầm 9 giờ <eos> để tao search coi mai CGV chiếu phim gì? <eos> giờ đặt trà sữa uống không?,cũng được đó
164,mày muốn uống trà gì?,trà sữa gạo nâu thêm trân châu
165,trên Grab tao đang có mã khuyến mãi,
166,ê mày <eos> sao hôm nay mày không đi thi? <eos> giám thị gọi tên mày quá trời,ủa <eos> tao tưởng ngày mai chứ
167,ulatr <eos> rớt môn nha mày <eos> ngày mai còn 2 môn thi nốt <eos> mai mày cần tao gọi mày không?,lòng đau như cắt <eos> hết muốn đi thi luôn
168,trừa tội thức đêm săn sale,
169,Hello Phú <eos> lâu rồi không gặp,Có gì không Khoa
170,giờ m làm gì rồi?,tao đang thử việc tại công ty ABC
171,sắp tới tao định thành lập công ty  <eos> công ty t còn thiếu trưởng phòng kinh doanh <eos> mày về giúp tao được không? <eos> thù lao trả đầy đủ :),mình hẹn cafe để nói cụ thể hơn đi
172,ok,
173,Hú <eos> leo rank không m? <eos> có cao thủ gánh nè,ok <eos> tối leo chứ giờ chơi toàn trẩu tre thôi
174,tối nay 9h nha,ok <eos> tao cầm Yue <eos> cấm mày cấm con đó của tao
175,mid của tao mà <eos> mầy đi top đi,vậy mầy lo mà gánh tao nha <eos> nhường mày mid đấy <eos> tao đi rừng
176,chốt nha,
177,bạn có crush chưa?,chưa <eos> còn bạn crush ai chưa?
178,mình có rồi,crush bao lâu rồi?
179,được 2 năm ròi,"lâu dị, rồi crush có bồ chưa?"
180,"có rồi, huhu",vậy sao còn crush?
181,"chưa cưới mà, nào cưới thì hết thôi",
182,"Dạo này sao rồi, khỏe không?",Cũng như trước thôi <eos> Cậu thì sao có người yêu gì chưa
183,"Chưa, đang chán đời cậu ơi",Cậu thất tình hả?
184,Cũng gần như thất tình vậy,"Đang kết nhỏ nào à? <eos> Ai thế, xinh không?"
185,"Một bạn nữ trong lớp, rất chi là xinh.","Chỉ xinh thôi à, còn gì nữa không mà mày thích?"
186,"Tính tình nó dễ thương, chăm chỉ học giỏi nữa, hiền khô à.",Uầy con giá thế thì ai chả thích. <eos> Thế làm sao mà chán đời?
187,Chưa biết cách nào để tỏ tình thôi.,Nó biết mày thích nó chưa ?
188,Tao chưa nói gì với nó nên nó chưa biết được,"Thế thì cứ bình thường vui vẻ , có dũng khí đã <eos> Tính khi nào tỏ tình?"
189,Vài ngày nữa,
190,Chào bạn,Xin chào
191,Bạn tên là gì ?,Mình tên Tùng <eos> còn bạn tên là gì?
192,Minh Phương <eos> Bạn sinh viên khoa nào?,Mình sinh viên khoa CNTT
193,Mình cũng vậy <eos> Bạn là sinh viên khóa mấy vậy?,Mình sinh viên khóa 22
194,Mình cũng là sinh viên khóa 22,
195,Tối nay qua có xem Việt Nam đá Sea Games không?,"Không, tối qua tao bận làm bài tập"
196,"Tiếc thật, Việt Nam đá hay mà mày không xem",Tỉ số bao nhiêu vậy
197,Việt Nam thằng Indonesia 3 bàn,Quang Hải có ghi bàn không?
198,Quang Hải không đá Sea Games <eos> Hôm qua Tiến Linh và Hùng Dũng ghi bàn,
199,Tối nay đi xem phim không bạn?,Xem ở đâu thế?
200,Lotte Mart Quận 7,Mấy giờ?
201,7 giờ tối,"Ok, mình đi được <eos> Xem Doctor Strange hả bạn?"
202,"Không, Mình với Nguyên đi xem Fantastic Beast <eos> Bạn xem phim đó không <eos> Xem thì mình đặt vé chung luôn",Vậy đặt giúp mình 1 vé luôn nha
203,Đi nhậu không bạn <eos> Tao với Việt mới tìm được quán ốc ngon lắm,Khi nào bạn?
204,9 giờ tối thứ 7,"Được, quán nào thế"
205,Đối diện Pattaya,Tao không biết Pattaya chỗ nào cả
206,Đường D4 gần chung cư Hoàng Anh Thanh Bình,"À, tao biết rồi <eos> Tầm 9 giờ kém tao đến"
207,Tao mới mở ra skin Yasuo mới đẹp lắm <eos> Solo không?,Tao bỏ Liên Minh lâu rồi
208,Vậy giờ còn chơi game không,Còn chứ <eos> Mấy game AAA
209,Giàu vậy <eos> Mua game chơi luôn à,Tao chơi game Crack thôi
210,Có game nào hay giới thiệu tao với nha <eos> Chứ Liên Minh chời nhiều cũng chán,Tối rảnh tao gửi cho mày link tải Game này chơi
211,Sáng mai bạn rảnh không chỉ mình bài này với,Môn gì vậy bạn
212,Môn Xác suất thống kê <eos> Bài 4 trong đề cương thầy giao ấy,"Được, mai mình hẹn gặp ở đâu vậy?"
213,Thư viện trường mình nhé,"Ok, tầng hầm thư viện nhé <eos> Mình không có ổ khóa nên không vào thư viện được"
214,Mình dư 1 ổ khóa <eos> Có gì 2 đứa mình để đồ chung rồi lên tầng 2 ngồi cho mát,
215,Ngày mai đi bơi không bạn,Mấy giờ vậy bạn?
216,"Sáng thì 7 giờ 30 phút, Chiều 4 giờ 30 phút","Sáng tao học rồi, Chiều 5 giờ có trận bóng trong trường <eos> Hồ còn ca bơi khác không bạn?"
217,Vậy thì mình đi 2 giờ 30 phút nha <eos> Hơi nắng nhưng còn mỗi giờ đó thôi,"Ok, vậy ngày mai qua đón mình đi với nhé"
218,Hôm nay em có gì vui không?,Hôm nay em đi shopping
219,Đi ở đâu?,"Nice Store, Trần Hưng Đạo, Quận 5"
220,Gần công ty anh,Anh đến đó bao giờ chưa?
221,Chưa <eos> Anh không biết store đó,"Bữa nào anh ghé thử, ở đó nhiều đồ đẹp "
222,Ok em,
223,Nghe nói bạn mới chuyển ngành à,"Uk, mới chuyển được 1 tuần trước"
224,Chuyển qua ngành gì?,Quản lý du dịch
225,Ngành đó cũng nhiều tiềm năng,"Uk, mình tìm kiểu nghĩ lắm mới quyết định đó"
226,Chúc bạn qua ngành mới gặp nhiều thuận tiện nhé,Cảm ơn bạn nhiều
227,Có chứng chỉ Toeic chưa bạn?,Chưa. Mình đang có ý định ôn để thi nè
228,Dự định thì khi nào vậy?,Chắc bắt đầu từ tuần sau <eos> Còn bạn thì sao? Có chứng chỉ chưa?
229,"Mình cũng chưa, đang kiếm bạn để ôn cùng",Vậy mình với bạn cùng ôn
230,"Ok, Bạn có muốn kiếm lớp ôn luyện không? Hay tự ôn",Mình nghĩ tụi mình tự ôn cũng được
231,"OK, vậy để mình sắp xếp thời gian, bắt đầu từ tuần sau nha.","OK, để mình tìm tài liệu"
232,Cậu tên gì?,Mình tên là Khải <eos> còn bạn tên gì? bạn ở đâu?
233,Mình tên là Khanh. <eos> Mình ở thành phố Hồ Chí Minh? <eos> Bạn học trường nào?,Mình học trường ĐH Tôn Đức Thắng.
234,Bạn đến từ đâu?,Mình đến từ tỉnh Quảng Ngãi.
235,Rất vui khi được gặp cậu.,
236,Bạn biết chơi bóng rổ không?,Mình không biết chơi bóng rổ. Còn bạn?
237,"Mình cũng vậy, nhưng mình biết bơi.","Trùng hợp quá, mình cũng biết bơi."
238,Bạn có thể bơi như thế nào?,"Mình biết bơi ếch, bơi sải, bơi ngửa."
239,Bạn giỏi quá. Mình chỉ biết bơi sải. <eos> Bạn bơi được quãng đường bao xa?,Mình bơi sải được 500m còn bơi ếch thì ít hơn.
240,Cuối tuần này cậy chỉ mình bơi sải với nhé.,Ok bạn.
241,"Lâu quá không gặp, mày khỏe không?","Ừ, tao khỏe. Cuối tuần đi xem phim không mày?"
242,Phim gì? hay tao mới đi nha.,"Tao không biết, đến rạp có phim gì xem phim nấy."
243,Thế thôi tao không đi đâu.,"Thế mày chọn phim đi, mày khó tính thế!"
244,"Đi xem Doctor Strange đi, phim mới ra hay lắm đó.","Cũng được, nhưng bao giờ đi?"
245,Chủ nhật như mày nói hoặc thứ 7.,"Ok, thống nhất chủ nhật."
246,"Ê mày, lễ Quốc khánh mày có dự định gì chưa?","Dự định gì, du lịch à?"
247,"Ừ, đi du lịch ấy.","Không, tao ở nhà chứ không đi đâu hết."
248,"Sao thế, đi Phú Quốc với tao không.",Phú Quốc tao đi rồi.
249,"Đi chung cho vui, tao có mã giảm giá cho tour này nè.","Trông có vẻ hời đấy, vậy tao sẽ đi. <eos> Nhưng mà đi mấy ngày mấy đêm"
250,Đi 3 ngày 2 đêm.,"Ok, mày đặt vé đi, tao sẽ chuyển lại cho mày."
251,Ok.,
252,"Cuối tuần này khai trương nhà hàng mới nè, mày đi ăn không?","Ở đâu, khuyến mãi thế nào?"
253,"Ở bên quận 1 ấy, giảm 50%.",Nhưng mà nhà hàng gì? có đồ nướng không.
254,"Có nhé. có bò nướng đúng món mày thích luôn. <eos> Nhưng mà đi sớm nha, 7 giờ tối có mặt.","Ừ, đi sớm chứ hết chỗ. <eos> À mà mày bao tao nha, tháng này hết tiền rồi"
255,"Ok luôn, tao trả cho.","Ok, cảm ơn mày nhiều"
256,"Chào cậu, cuối năm nay cậu tốt nghiệp hả?","Ừ, cuối năm nay, nhưng mình đi làm được một năm rồi?"
257,Thật tuyệt. Mình cũng đã đi làm rồi.,Cậu làm ở đâu và việc gì?
258,"Mình làm ở quận 3, mình làm lập trình viên <eos> Còn cậu?","Mình làm việc tại nhà, mỗi tuần lên công ty báo cáo một lần thôi."
259,Cậu làm công việc gì mà tốt thế?,"Mình cũng làm giống cậu, tuy nhiên chính sách công ty mình khác thôi. <eos> Cuối tháng này sẽ có một đợt tuyển dụng, nếu cậu thích có thể ứng tuyển nè."
260,"Cảm ơn cậu, mình rất thích công việc này, mình sẽ ứng tuyển.",
261,Xin chào <eos> Mình tên là Long <eos> Bạn tên gì?,Tên mình là Phương
262,Bạn là người miền bắc à?,Đúng rồi <eos> Mình là người Hải Phòng
263,Bạn đang ở trọ gần trường à?,Mình đang thuê một căn hộ ở khu Sunrise City quận 7
264,Bạn ở đó một mình à?,"À không, mình ở cùng với chị của mình"
265,"Ê mày <eos> Vào game lẹ, đủ 4 đứa rồi thiếu mày thôi",Chơi trước một trận đi <eos> Tao đang xem phim rồi
266,Mày coi phim thì lát vô chỉ có đánh support thôi ,Mày chắc chưa tao mà đánh support thì không ai gánh mày đâu
267,Khỏi lo hôm nay mời được tay to gánh rồi,Ghê ghê mày tìm ở đâu được người gánh cục tạ như mày thế
